_id,name,lat,lon
36081,新地,37.875,140.9183
36766,古殿,37.09,140.56
40041,花園,36.8683,140.6367
40046,北茨城,36.8333,140.7717
40061,大子,36.7783,140.345
40191,笠間,36.3833,140.2367
40201,水戸,36.38,140.4667
40221,古河,36.2017,139.7167
40281,下妻,36.1683,139.945
40326,坂東,36.035,139.8933
40341,土浦,36.1033,140.22
40406,鹿嶋,35.9633,140.6217
40391,江戸崎,35.96,140.32
40136,日立,36.5983,140.65
40241,柿岡,36.2333,140.1883
40251,美野里,36.2367,140.325
40426,龍ケ崎,35.89,140.2117
40126,中野,36.515,140.4733
40066,徳田,36.7783,140.4817
40311,鉾田,36.1683,140.5267
40091,常陸大宮,36.6067,140.325
40181,門井,36.3333,140.0333
40076,大能,36.7433,140.5917
40336,つくば(館野),36.0567,140.125
40231,下館,36.2817,139.9883
40081,高萩,36.7067,140.7167
41011,那須,37.1233,140.035
41091,黒磯,36.9817,140.0183
41141,大田原,36.84,140.035
41166,奥日光(日光),36.7383,139.5
41241,高根沢,36.6067,139.9983
41271,鹿沼,36.5917,139.735
41277,宇都宮,36.5483,139.8683
41311,葛生,36.4333,139.59
41331,真岡,36.4783,139.9867
41356,足利,36.3017,139.4733
41371,栃木,36.3733,139.7033
41376,小山,36.3383,139.83
41076,五十里,36.9217,139.695
41211,足尾,36.6467,139.4483
41361,佐野,36.3633,139.57
41116,土呂部,36.8933,139.5683
41171,今市,36.7267,139.6767
41181,塩谷,36.7567,139.8833
41247,那須烏山,36.6417,140.1167
42121,草津,36.6167,138.5917
42146,沼田,36.6533,139.06
42221,田代,36.4633,138.4633
42241,榛名山,36.4717,138.8733
42251,前橋,36.405,139.06
42266,桐生,36.3833,139.345
42286,上里見,36.3767,138.895
42326,西野牧,36.245,138.7067
42341,藤岡,36.25,139.0733
42366,館林,36.2333,139.5317
42091,みなかみ,36.8,138.9917
42186,中之条,36.5867,138.85
42302,伊勢崎,36.3317,139.165
42106,片品,36.7717,139.2383
42046,藤原,36.8633,139.0583
42396,神流,36.1083,138.8967
42261,黒保根,36.5017,139.2833
43056,熊谷,36.15,139.38
43126,久喜,36.0867,139.635
43156,秩父,35.99,139.0733
43231,飯能,35.8383,139.3217
43241,さいたま,35.875,139.5867
43256,越谷,35.8833,139.7567
43151,三峰,35.9267,138.9233
43051,寄居,36.105,139.1833
43121,鴻巣,36.065,139.5217
43266,所沢,35.7733,139.4133
43157,浦山,35.92,139.07
43091,上吉田,36.0533,138.98
43171,鳩山,35.985,139.335
43162,ときがわ,35.99,139.2067
44046,小河内,35.7917,139.05
44112,八王子,35.6667,139.3167
44126,世田谷,35.6267,139.62
44132,東京,35.69,139.76
