,_id,Date,precip,Unnamed: 0,name,lat,lon,text
565,48141,2019-8-22 15:40,0.0,708.0,白馬,36.6983,137.8617,白馬:  0.0mm
566,48146,2019-8-22 15:40,0.0,746.0,鬼無里,36.6883,137.965,鬼無里:  0.0mm
567,48156,2019-8-22 15:40,0.0,709.0,長野,36.6617,138.1917,長野:  0.0mm
568,48172,2019-8-22 15:40,1.0,710.0,笠岳,36.6667,138.4567,笠岳:  1.0mm
569,48191,2019-8-22 15:40,0.0,711.0,大町,36.5233,137.8333,大町:  0.0mm
570,48196,2019-8-22 15:40,0.5,712.0,信州新町,36.5483,137.9967,信州新町:  0.5mm
571,48216,2019-8-22 15:40,0.5,741.0,菅平,36.5317,138.325,菅平:  0.5mm
572,48247,2019-8-22 15:40,0.0,754.0,聖高原,36.4867,138.0683,聖高原:  0.0mm
573,48256,2019-8-22 15:40,0.0,714.0,上田,36.4,138.265,上田:  0.0mm
574,48296,2019-8-22 15:40,0.0,716.0,穂高,36.3433,137.8817,穂高:  0.0mm
575,48321,2019-8-22 15:40,0.0,742.0,東御,36.3833,138.3833,東御:  0.0mm
576,48331,2019-8-22 15:40,0.0,717.0,軽井沢,36.3417,138.5467,軽井沢:  0.0mm
577,48346,2019-8-22 15:40,0.0,743.0,上高地,36.2467,137.6333,上高地:  0.0mm
578,48361,2019-8-22 15:40,0.0,718.0,松本,36.245,137.97,松本:  0.0mm
579,48363,2019-8-22 15:40,0.0,761.0,松本今井,36.1667,137.9217,松本今井:  0.0mm
580,48371,2019-8-22 15:40,0.0,719.0,鹿教湯,36.3017,138.1367,鹿教湯:  0.0mm
581,48381,2019-8-22 15:40,0.0,747.0,立科,36.2717,138.3133,立科:  0.0mm
582,48386,2019-8-22 15:40,0.0,720.0,佐久,36.2467,138.4767,佐久:  0.0mm
583,48436,2019-8-22 15:40,0.0,763.0,白樺湖,36.105,138.2283,白樺湖:  0.0mm
584,48466,2019-8-22 15:40,0.0,748.0,奈川,36.0883,137.6833,奈川:  0.0mm
585,48491,2019-8-22 15:40,0.0,723.0,諏訪,36.045,138.1083,諏訪:  0.0mm
586,48516,2019-8-22 15:40,0.0,762.0,北相木,36.0717,138.6117,北相木:  0.0mm
587,48531,2019-8-22 15:40,0.0,749.0,開田高原,35.9383,137.6017,開田高原:  0.0mm
588,48541,2019-8-22 15:40,0.5,725.0,木曽平沢,35.9833,137.835,木曽平沢:  0.5mm
589,48546,2019-8-22 15:40,0.0,751.0,辰野,35.9817,137.9833,辰野:  0.0mm
590,48556,2019-8-22 15:40,0.0,764.0,高遠,35.9533,138.1083,高遠:  0.0mm
591,48561,2019-8-22 15:40,0.0,726.0,原村,35.97,138.22,原村:  0.0mm
592,48571,2019-8-22 15:40,0.5,727.0,野辺山,35.9483,138.4717,野辺山:  0.5mm
593,48601,2019-8-22 15:40,0.0,728.0,御嶽山,35.8717,137.5033,御嶽山:  0.0mm
594,48606,2019-8-22 15:40,0.0,729.0,木曽福島,35.84,137.6883,木曽福島:  0.0mm
595,48621,2019-8-22 15:40,0.0,760.0,伊那,35.8267,137.955,伊那:  0.0mm
596,48681,2019-8-22 15:40,0.0,732.0,宮田高原,35.7733,137.885,宮田高原:  0.0mm
597,48691,2019-8-22 15:40,0.0,757.0,杉島,35.7267,138.0933,杉島:  0.0mm
598,48716,2019-8-22 15:40,0.0,734.0,須原,35.6983,137.6917,須原:  0.0mm
599,48717,2019-8-22 15:40,2.0,744.0,南木曽,35.61,137.62,南木曽:  2.0mm
600,48731,2019-8-22 15:40,0.0,736.0,飯島,35.6533,137.8983,飯島:  0.0mm
601,48737,2019-8-22 15:40,0.0,756.0,大鹿,35.5567,138.04,大鹿:  0.0mm
602,48767,2019-8-22 15:40,0.0,738.0,飯田,35.5233,137.8217,飯田:  0.0mm
603,48826,2019-8-22 15:40,0.0,750.0,浪合,35.3733,137.6917,浪合:  0.0mm
604,48836,2019-8-22 15:40,0.0,753.0,阿南,35.3133,137.8117,阿南:  0.0mm
605,48841,2019-8-22 15:40,0.0,752.0,南信濃,35.3217,137.9317,南信濃:  0.0mm
606,49036,2019-8-22 15:40,0.0,777.0,大泉,35.8617,138.3867,大泉:  0.0mm
607,49052,2019-8-22 15:40,0.0,782.0,乙女湖,35.8067,138.655,乙女湖:  0.0mm
608,49086,2019-8-22 15:40,0.0,778.0,韮崎,35.6933,138.4483,韮崎:  0.0mm
609,49142,2019-8-22 15:40,0.0,769.0,甲府,35.6667,138.5533,甲府:  0.0mm
610,49151,2019-8-22 15:40,0.0,770.0,勝沼,35.6633,138.725,勝沼:  0.0mm
611,49161,2019-8-22 15:40,0.0,771.0,大月,35.6083,138.9383,大月:  0.0mm
612,49172,2019-8-22 15:40,0.0,,,,,nan:  0.0mm
